Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03,41.682499,41.849998,35.705002,36.932499,36.932499,221512400
2020-09-04,36.345001,37.575001,30.965000,35.410000,35.410000,280740400
2020-09-08,31.237499,33.492500,30.264999,30.405001,30.405001,213412400
2020-09-09,32.257500,33.799999,31.417500,33.017502,33.017502,145176000
2020-09-10,34.130001,34.597500,30.434999,31.107500,31.107500,232968400
2020-09-11,31.750000,32.047501,29.202499,30.427500,30.427500,192898800
2020-09-14,31.750000,32.702499,31.270000,31.995001,31.995001,134516400
2020-09-15,33.332500,33.855000,32.740002,33.355000,33.355000,150444800
2020-09-16,33.632500,33.830002,31.647499,31.752501,31.752501,153070800
2020-09-17,29.302500,30.990000,29.012501,30.290001,30.290001,223422400
2020-09-18,30.715000,30.862499,27.690001,29.120001,29.120001,231521200
2020-09-21,27.807501,29.487499,27.025000,29.465000,29.465000,187657200
2020-09-22,30.299999,31.282499,29.115000,31.075001,31.075001,157533200
2020-09-23,30.962500,31.037500,27.927500,28.197500,28.197500,202753600
2020-09-24,27.422501,29.677500,27.292500,28.610001,28.610001,187518000
2020-09-25,28.767500,30.889999,28.262501,30.615000,30.615000,162239200
2020-09-28,32.322498,32.500000,31.392500,32.430000,32.430000,136665600
2020-09-29,32.369999,32.709999,31.882500,32.090000,32.090000,110902800
2020-09-30,32.147499,33.880001,32.062500,32.724998,32.724998,169384000
2020-10-01,34.142502,34.517502,33.445000,34.257500,34.257500,139338000
2020-10-02,32.029999,33.407501,31.082500,31.432501,31.432501,199776800
2020-10-05,32.117500,33.525002,32.062500,33.415001,33.415001,105395200
2020-10-06,33.097500,33.779999,31.287500,31.620001,31.620001,172824400
2020-10-07,32.542500,33.527500,32.345001,33.282501,33.282501,112544400
2020-10-08,34.112499,34.152500,33.384998,33.772499,33.772499,98946800
2020-10-09,34.384998,35.347500,34.240002,35.275002,35.275002,97635600
2020-10-12,37.099998,39.682499,36.715000,38.564999,38.564999,147058400
2020-10-13,39.299999,39.582500,38.037498,38.570000,38.570000,141930800
2020-10-14,38.915001,39.299999,36.912498,37.617500,37.617500,148294800
2020-10-15,35.755001,37.097500,35.485001,36.840000,36.840000,124538400
2020-10-16,37.517502,38.067501,36.125000,36.275002,36.275002,114048400
2020-10-19,37.009998,37.377499,34.090000,34.472500,34.472500,138777600
2020-10-20,34.744999,35.849998,34.147499,34.695000,34.695000,137355200
2020-10-21,34.772499,35.752499,34.430000,34.605000,34.605000,121286400
2020-10-22,34.924999,35.250000,33.367500,34.622501,34.622501,119581600
2020-10-23,34.852501,34.857498,33.722500,34.825001,34.825001,95544000
2020-10-26,33.942501,34.994999,31.872499,33.237499,33.237499,158556800
2020-10-27,33.567501,34.299999,33.130001,34.022499,34.022499,111930000
2020-10-28,32.355000,32.560001,29.950001,30.030001,30.030001,184720000
2020-10-29,30.485001,32.615002,30.309999,31.557501,31.557501,138187200
2020-10-30,30.887501,31.182501,28.387501,29.362499,29.362499,230811200
2020-11-02,29.947500,30.522499,28.402500,29.372499,29.372499,151136000
2020-11-03,29.995001,31.602501,29.650000,30.850000,30.850000,134969200
2020-11-04,33.897499,35.660000,33.330002,35.020000,35.020000,169187600
2020-11-05,37.415001,38.137501,36.897499,37.722500,37.722500,150132400
2020-11-06,37.467499,38.142502,36.014999,37.849998,37.849998,135151200
2020-11-09,38.919998,39.595001,35.369999,35.540001,35.540001,165865600
2020-11-10,34.285000,34.812500,32.587502,33.622501,33.622501,168666800
2020-11-11,34.517502,36.047501,34.369999,35.882500,35.882500,126830800
2020-11-12,36.212502,36.730000,34.930000,35.357498,35.357498,143343600
2020-11-13,35.945000,36.520000,35.165001,36.285000,36.285000,104747600
2020-11-16,36.187500,37.252499,35.935001,37.119999,37.119999,106874400
2020-11-17,37.200001,37.340000,36.532501,36.777500,36.777500,91352000
2020-11-18,36.564999,37.187500,35.924999,35.924999,35.924999,77170800
2020-11-19,35.727501,36.922501,35.490002,36.814999,36.814999,79670800
2020-11-20,36.762501,37.067501,36.029999,36.067501,36.067501,64996800
2020-11-23,36.455002,36.935001,35.189999,36.075001,36.075001,89530400
2020-11-24,36.455002,37.757500,35.767502,37.549999,37.549999,78007600
2020-11-25,37.930000,38.502499,37.612499,38.257500,38.257500,64338800
2020-11-27,39.009998,39.767502,38.882500,39.302502,39.302502,46463600
2020-11-30,39.430000,39.695000,37.645000,39.505001,39.505001,92311200
2020-12-01,40.447498,41.737499,40.025002,41.057499,41.057499,84994800
